ID,Name,Keywords,,MasterID
311,IN_AutoMutualInfoStats_40_gaussian_pextrema,"information,correlation,AMI",,713
312,IN_AutoMutualInfoStats_40_gaussian_fmmi,"information,correlation,AMI",,713
313,IN_AutoMutualInfoStats_40_gaussian_pmaxima,"information,correlation,AMI",,713
314,IN_AutoMutualInfoStats_40_gaussian_modeperiodmax,"information,correlation,AMI",,713
315,IN_AutoMutualInfoStats_40_gaussian_pmodeperiodmax,"information,correlation,AMI",,713
316,IN_AutoMutualInfoStats_40_gaussian_pminima,"information,correlation,AMI",,713
317,IN_AutoMutualInfoStats_40_gaussian_modeperiodmin,"information,correlation,AMI",,713
318,IN_AutoMutualInfoStats_40_gaussian_pmodeperiodmin,"information,correlation,AMI",,713
319,IN_AutoMutualInfoStats_40_gaussian_pcrossmean,"information,correlation,AMI",,713
320,IN_AutoMutualInfoStats_40_gaussian_pcrossmedian,"information,correlation,AMI",,713
321,IN_AutoMutualInfoStats_40_gaussian_pcrossq10,"information,correlation,AMI",,713
322,IN_AutoMutualInfoStats_40_gaussian_pcrossq90,"information,correlation,AMI",,713
323,IN_AutoMutualInfoStats_40_gaussian_amiac1,"information,correlation,AMI",,713
324,IN_AutoMutualInfoStats_40_kraskov1_4_ami1,"information,correlation,AMI",,714
325,IN_AutoMutualInfoStats_40_kraskov1_4_ami2,"information,correlation,AMI",,714
326,IN_AutoMutualInfoStats_40_kraskov1_4_ami3,"information,correlation,AMI",,714
327,IN_AutoMutualInfoStats_40_kraskov1_4_ami4,"information,correlation,AMI",,714
328,IN_AutoMutualInfoStats_40_kraskov1_4_ami5,"information,correlation,AMI",,714
329,IN_AutoMutualInfoStats_40_kraskov1_4_ami6,"information,correlation,AMI",,714
330,IN_AutoMutualInfoStats_40_kraskov1_4_ami7,"information,correlation,AMI",,714
331,IN_AutoMutualInfoStats_40_kraskov1_4_ami8,"information,correlation,AMI",,714
332,IN_AutoMutualInfoStats_40_kraskov1_4_ami9,"information,correlation,AMI",,714
333,IN_AutoMutualInfoStats_40_kraskov1_4_ami10,"information,correlation,AMI",,714
334,IN_AutoMutualInfoStats_40_kraskov1_4_ami11,"information,correlation,AMI",,714
335,IN_AutoMutualInfoStats_40_kraskov1_4_ami12,"information,correlation,AMI",,714
336,IN_AutoMutualInfoStats_40_kraskov1_4_ami13,"information,correlation,AMI",,714
337,IN_AutoMutualInfoStats_40_kraskov1_4_ami14,"information,correlation,AMI",,714
338,IN_AutoMutualInfoStats_40_kraskov1_4_ami15,"information,correlation,AMI",,714
339,IN_AutoMutualInfoStats_40_kraskov1_4_ami16,"information,correlation,AMI",,714
340,IN_AutoMutualInfoStats_40_kraskov1_4_ami17,"information,correlation,AMI",,714
341,IN_AutoMutualInfoStats_40_kraskov1_4_ami18,"information,correlation,AMI",,714
342,IN_AutoMutualInfoStats_40_kraskov1_4_ami19,"information,correlation,AMI",,714
343,IN_AutoMutualInfoStats_40_kraskov1_4_ami20,"information,correlation,AMI",,714
344,IN_AutoMutualInfoStats_40_kraskov1_4_ami21,"information,correlation,AMI",,714
345,IN_AutoMutualInfoStats_40_kraskov1_4_ami22,"information,correlation,AMI",,714
346,IN_AutoMutualInfoStats_40_kraskov1_4_ami23,"information,correlation,AMI",,714
347,IN_AutoMutualInfoStats_40_kraskov1_4_ami24,"information,correlation,AMI",,714
348,IN_AutoMutualInfoStats_40_kraskov1_4_ami25,"information,correlation,AMI",,714
349,IN_AutoMutualInfoStats_40_kraskov1_4_ami26,"information,correlation,AMI",,714
350,IN_AutoMutualInfoStats_40_kraskov1_4_ami27,"information,correlation,AMI",,714
351,IN_AutoMutualInfoStats_40_kraskov1_4_ami28,"information,correlation,AMI",,714
352,IN_AutoMutualInfoStats_40_kraskov1_4_ami29,"information,correlation,AMI",,714
353,IN_AutoMutualInfoStats_40_kraskov1_4_ami30,"information,correlation,AMI",,714
354,IN_AutoMutualInfoStats_40_kraskov1_4_ami31,"information,correlation,AMI",,714
355,IN_AutoMutualInfoStats_40_kraskov1_4_ami32,"information,correlation,AMI",,714
356,IN_AutoMutualInfoStats_40_kraskov1_4_ami33,"information,correlation,AMI",,714
357,IN_AutoMutualInfoStats_40_kraskov1_4_ami34,"information,correlation,AMI",,714
358,IN_AutoMutualInfoStats_40_kraskov1_4_ami35,"information,correlation,AMI",,714
359,IN_AutoMutualInfoStats_40_kraskov1_4_ami36,"information,correlation,AMI",,714
360,IN_AutoMutualInfoStats_40_kraskov1_4_ami37,"information,correlation,AMI",,714
361,IN_AutoMutualInfoStats_40_kraskov1_4_ami38,"information,correlation,AMI",,714
362,IN_AutoMutualInfoStats_40_kraskov1_4_ami39,"information,correlation,AMI",,714
363,IN_AutoMutualInfoStats_40_kraskov1_4_ami40,"information,correlation,AMI",,714
364,IN_AutoMutualInfoStats_40_kraskov1_4_mami,"information,correlation,AMI",,714
365,IN_AutoMutualInfoStats_40_kraskov1_4_stdami,"information,correlation,AMI",,714
366,IN_AutoMutualInfoStats_40_kraskov1_4_pextrema,"information,correlation,AMI",,714
367,IN_AutoMutualInfoStats_40_kraskov1_4_fmmi,"information,correlation,AMI",,714
368,IN_AutoMutualInfoStats_40_kraskov1_4_pmaxima,"information,correlation,AMI",,714
369,IN_AutoMutualInfoStats_40_kraskov1_4_modeperiodmax,"information,correlation,AMI",,714
370,IN_AutoMutualInfoStats_40_kraskov1_4_pmodeperiodmax,"information,correlation,AMI",,714
371,IN_AutoMutualInfoStats_40_kraskov1_4_pminima,"information,correlation,AMI",,714
372,IN_AutoMutualInfoStats_40_kraskov1_4_modeperiodmin,"information,correlation,AMI",,714
373,IN_AutoMutualInfoStats_40_kraskov1_4_pmodeperiodmin,"information,correlation,AMI",,714
374,IN_AutoMutualInfoStats_40_kraskov1_4_pcrossmean,"information,correlation,AMI",,714
375,IN_AutoMutualInfoStats_40_kraskov1_4_pcrossmedian,"information,correlation,AMI",,714
376,IN_AutoMutualInfoStats_40_kraskov1_4_pcrossq10,"information,correlation,AMI",,714
377,IN_AutoMutualInfoStats_40_kraskov1_4_pcrossq90,"information,correlation,AMI",,714
378,IN_AutoMutualInfoStats_40_kraskov1_4_amiac1,"information,correlation,AMI",,714
379,IN_AutoMutualInfoStats_diff_20_gaussian_ami1,"information,correlation,AMI",,715
380,IN_AutoMutualInfoStats_diff_20_gaussian_ami2,"information,correlation,AMI",,715
381,IN_AutoMutualInfoStats_diff_20_gaussian_ami3,"information,correlation,AMI",,715
382,IN_AutoMutualInfoStats_diff_20_gaussian_ami4,"information,correlation,AMI",,715
383,IN_AutoMutualInfoStats_diff_20_gaussian_ami5,"information,correlation,AMI",,715
384,IN_AutoMutualInfoStats_diff_20_gaussian_ami6,"information,correlation,AMI",,715
385,IN_AutoMutualInfoStats_diff_20_gaussian_ami7,"information,correlation,AMI",,715
386,IN_AutoMutualInfoStats_diff_20_gaussian_ami8,"information,correlation,AMI",,715
387,IN_AutoMutualInfoStats_diff_20_gaussian_ami9,"information,correlation,AMI",,715
388,IN_AutoMutualInfoStats_diff_20_gaussian_ami10,"information,correlation,AMI",,715
389,IN_AutoMutualInfoStats_diff_20_gaussian_ami11,"information,correlation,AMI",,715
390,IN_AutoMutualInfoStats_diff_20_gaussian_ami12,"information,correlation,AMI",,715
391,IN_AutoMutualInfoStats_diff_20_gaussian_ami13,"information,correlation,AMI",,715
392,IN_AutoMutualInfoStats_diff_20_gaussian_ami14,"information,correlation,AMI",,715
393,IN_AutoMutualInfoStats_diff_20_gaussian_ami15,"information,correlation,AMI",,715
394,IN_AutoMutualInfoStats_diff_20_gaussian_ami16,"information,correlation,AMI",,715
395,IN_AutoMutualInfoStats_diff_20_gaussian_ami17,"information,correlation,AMI",,715
396,IN_AutoMutualInfoStats_diff_20_gaussian_ami18,"information,correlation,AMI",,715
