Rank,Name,Keywords,Corr,pvalue,Signedcorrvalue,ID
637,DN_OutlierInclude_abs_001_stdrfexprmse,"distribution,outliers",0.413,1.545247873294005e-42,0.413,3304
638,MF_armax_1_1_05_1_sbc1,model,0.412,2.3743035270880207e-42,-0.412,7289
639,MF_armax_3_1_05_1_maxdc,model,0.412,3.101408515336185e-42,-0.412,7231
640,MF_StateSpace_n4sid_3_05_1_sbc1,model,0.412,2.728500508798104e-42,-0.412,7190
641,MF_FitSubsegments_arsbc_uniform_25_01_orders_mode,"model,prediction,arfit",0.412,3.020399261330608e-42,0.412,6929
642,NL_MS_nlpe_3_ac_acmnd0,"nonlinear,prediction,model",0.412,7.944981819012096e-42,0.412,6704
643,SY_TISEAN_nstat_z_4_1_3_max,"nonlinear,tisean,model,stationarity",0.412,2.9191355507080706e-42,-0.412,4841
644,SB_TransitionMatrix_51_symdiff,"symbolic,transitionmat",0.412,3.079601465526598e-42,-0.412,1375
645,SY_SlidingWindow_sampen_s2_10,stationarity,0.411,5.136126240202866e-42,-0.411,630
646,NL_MS_nlpe_3_ac_sbc1,"nonlinear,prediction,model",0.410,2.2569018737413129e-41,-0.410,6711
647,SC_FluctAnal_2_range_50_logi_resac1,scaling,0.410,9.973382801054026e-42,0.410,3998
648,FC_Surprise_T1_50_3_udq_500_min,"information,symbolic",0.410,1.9996787125393361e-41,-0.410,2444
649,SY_SlidingWindow_ac1_s5_10,stationarity,0.410,9.96147726790641e-42,-0.410,725
650,NL_TSTL_PoincareSection_max_1_minD,"nonlinear,tstool",0.409,1.8397673076397333e-41,-0.409,5499
651,SY_TISEAN_nstat_z_5_1_3_max,"nonlinear,tisean,model,stationarity",0.409,2.197107547713331e-41,-0.409,4868
652,MF_CompareTestSets_y_ss_2_uniform_25_01_1_mabserr_iqr,"model,prediction,stationarity",0.408,2.3056607609683673e-41,-0.408,7057
653,MF_CompareTestSets_y_ar_4_rand_25_01_1_ac1s_std,"model,prediction,stationarity",0.408,2.014453540879069e-41,-0.408,7000
